90	45
3	97
68	63
87	68
62	31
69	34
22	68
13	37
19	53
57	77
39	62
83	57
50	1
22	59
67	40
78	77
93	94
7	62
48	52
29	12
97	62
53	73
76	54
68	29
31	41
2	15
86	97
84	21
89	23
72	40
16	94
96	44
28	95
76	57
91	17
15	45
64	99
70	2
76	59
37	23
69	64
31	8
93	47
60	44
95	27
39	92
98	1
59	23
45	94
50	32
51	18
55	73
54	51
29	60
89	15
5	13
47	54
8	81
75	12
85	46
23	84
71	64
33	24
40	57
21	33
96	14
77	69
75	31
83	79
20	43
66	48
41	82
99	75
49	70
56	28
53	54
98	62
21	23
71	92
84	31
24	32
99	30
76	53
89	85
95	81
90	63
5	99
88	95
91	22
39	65
63	59
48	1
64	91
17	62
7	92
51	92
62	62
28	85
81	66
72	82
29	19
53	94
68	11
78	37
86	94
63	35
95	97
42	10
74	68
65	46
27	97
38	70
72	92
91	54
49	39
8	32
25	92
71	87
28	46
33	47
66	39
9	3
74	27
76	96
33	4
26	30
40	70
4	14
73	59
20	17
77	34
47	66
81	57
72	54
49	96
41	12
72	96
30	62
57	76
16	48
78	67
65	59
95	11
58	54
98	74
95	75
53	9
62	98
17	50
77	81
2	35
79	99
55	56
33	73
92	31
39	56
32	85
7	22
10	28
56	69
30	40
99	11
41	57
48	61
57	85
33	50
7	4
70	6
76	29
56	7
55	76
91	99
65	81
26	70
62	30
99	94
78	2
50	72
67	74
10	94
11	20
48	43
24	65
57	11
59	21
3	79
19	13
48	36
72	82
54	54
95	94
2	1
32	91
99	14
55	24
20	18
71	69
33	97
49	33
61	4
32	15
25	16
17	82
62	19
85	55
97	40
74	11
37	48
74	22
75	86
65	26
74	67
53	46
5	7
81	18
20	21
14	75
98	9
95	42
55	4
58	36
42	8
85	83
1	13
99	98
46	67
8	2
57	81
52	100
76	26
71	88
65	51
55	87
82	25
18	92
90	45
20	58
28	56
90	98
14	17
11	46
36	7
95	38
28	44
13	23
21	67
76	88
50	35
90	50
64	44
45	34
51	59
6	10
14	19
80	49
91	49
11	37
20	0
78	73
98	66
75	16
9	10
64	13
64	95
47	66
76	49
58	67
40	0
68	18
22	52
91	61
78	53
73	92
17	91
82	83
25	11
76	47
94	48
9	59
77	84
6	32
89	54
49	45
65	98
70	22
93	66
7	6
11	14
31	36
7	4
72	52
26	72
88	96
7	57
47	95
28	90
6	33
89	100
67	62
98	27
70	11
85	38
86	45
48	94
51	26
99	9
10	12
75	72
83	58
13	29
90	56
17	43
22	30
17	13
94	96
45	10
56	18
17	42
96	58
54	25
10	53
10	36
82	75
86	71
95	74
94	2
24	9
71	13
92	71
47	35
72	25
35	4
48	54
72	27
73	64
30	30
5	12
18	87
13	93
65	5
71	13
34	83
38	6
5	53
26	44
26	86
96	59
5	68
60	66
38	40
88	1
32	42
44	27
59	3
82	20
62	47
14	60
29	60
55	76
23	95
7	39
62	79
73	52
55	65
44	22
65	68
25	2
76	32
15	84
14	20
24	16
62	54
49	68
78	25
30	76
17	51
25	66
41	88
8	8
39	36
18	10
96	56
96	76
25	63
84	67
59	9
81	88
35	23
38	72
20	58
95	61
96	41
84	94
43	49
17	9
43	27
41	94
18	11
59	39
13	18
72	90
100	67
44	99
65	86
13	62
58	61
85	53
90	50
99	78
34	36
90	77
32	2
86	17
93	90
49	62
72	0
99	83
22	58
28	91
7	28
39	4
13	17
0	83
39	16
34	74
39	74
3	82
55	31
25	5
97	28
65	65
83	50
9	23
70	78
58	14
77	19
38	44
62	95
50	17
4	11
78	32
40	75
0	80
57	46
66	68
3	35
47	46
70	7
26	53
77	38
0	35
94	2
6	89
34	72
38	46
100	33
20	3
17	62
79	11
79	25
13	74
39	9
41	74
53	85
33	28
4	95
4	14
92	87
70	22
47	50
55	52
94	20
62	45
39	100
43	55
97	59
67	64
28	70
35	53
70	7
27	21
59	35
1	73
90	9
49	13
6	80
67	68
20	73
46	38
48	83
94	62
7	70
21	33
91	41
43	34
73	53
57	31
63	15
93	28
59	66
29	52
21	1
58	97
5	66
91	94
74	45
56	81
67	13
36	87
85	70
62	59
79	21
30	91
76	15
4	77
38	33
95	49
65	54
86	97
75	48
67	36
89	58
51	28
27	56
87	88
64	50
61	21
19	15
80	11
26	32
97	44
62	43
97	10
1	55
48	20
62	80
3	79
8	68
20	52
53	63
62	47
89	48
42	19
60	8
8	35
52	4
40	100
38	25
58	75
5	1
65	98
84	97
9	84
26	10
25	61
86	27
34	39
28	28
2	69
95	87
27	44
80	88
49	25
32	12
1	82
96	31
42	26
85	26
30	51
94	59
100	44
91	12
74	45
58	62
39	53
66	21
70	74
36	36
0	30
19	57
2	98
39	64
48	52
37	40
75	47
80	82
43	64
29	5
24	50
98	96
3	25
20	81
46	75
23	38
9	46
94	51
64	62
35	29
41	96
66	63
39	8
55	49
91	58
82	9
44	82
62	26
38	55
28	49
1	7
51	16
58	32
51	100
1	29
91	71
17	94
0	84
53	22
32	53
18	92
16	67
18	22
13	68
14	32
54	22
85	96
16	80
99	73
84	0
42	53
47	22
56	16
7	6
3	48
91	20
89	51
1	70
46	31
27	92
98	88
67	27
88	97
24	66
75	67
22	95
88	80
21	9
82	90
95	95
65	90
51	25
29	63
86	80
77	40
8	25
92	61
87	4
26	97
28	11
57	63
45	42
50	100
43	14
38	71
45	2
6	40
50	98
48	35
59	48
56	68
19	81
64	61
10	82
90	66
47	90
86	11
65	45
97	54
9	20
9	21
34	37
35	70
12	82
17	65
79	12
17	32
79	98
29	25
64	81
66	95
77	27
64	11
11	76
53	53
42	37
59	97
81	27
53	17
79	98
2	45
89	63
73	10
80	26
4	50
74	76
97	1
57	95
59	6
99	64
57	97
67	78
36	84
77	73
47	96
19	45
93	16
13	70
92	24
25	48
89	22
5	75
9	11
17	78
66	19
79	91
27	30
8	30
31	96
54	23
83	19
82	24
